transaction_date,transaction_time,customer_id,quantity,line_item_amount,unit_price,product_group,product_category,product_type,current_wholesale_price,customer_since,customer_birth_year,customer_generation
2019-04-01,12:04:43,558.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-06-19,1983.0,Older Millennials
2019-04-01,11:15:38,22.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-03-03,1953.0,Baby Boomers
2019-04-01,12:05:31,659.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2019-01-14,1996.0,Gen Z
2019-04-01,16:49:38,407.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-08-11,1963.0,Baby Boomers
2019-04-01,19:17:34,537.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-05-06,1980.0,Older Millennials
2019-04-01,17:58:05,385.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-06-26,1961.0,Baby Boomers
2019-04-01,11:14:07,456.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-11-20,1970.0,Gen X
2019-04-01,11:40:26,7.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-01-21,1951.0,Baby Boomers
2019-04-01,15:36:03,441.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-10-20,1968.0,Gen X
2019-04-01,11:14:45,212.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-08-09,1986.0,Older Millennials
2019-04-01,11:59:48,391.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-07-09,1961.0,Baby Boomers
2019-04-01,14:34:35,447.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-11-01,1968.0,Gen X
2019-04-01,11:35:18,111.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-11-03,1969.0,Gen X
2019-04-01,18:32:25,697.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2019-04-02,2000.0,Gen Z
2019-04-01,12:44:32,387.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-06-30,1961.0,Baby Boomers
2019-04-01,18:02:00,676.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2019-02-18,1998.0,Gen Z
2019-04-01,15:44:17,531.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-04-24,1979.0,Gen X
2019-04-01,15:12:54,574.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-07-22,1985.0,Older Millennials
2019-04-01,12:08:36,774.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-09-05,1988.0,Older Millennials
2019-04-01,13:27:32,5287.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-05-07,1992.0,Younger Millennials
2019-04-01,18:19:45,5821.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-02-25,1981.0,Older Millennials
2019-04-01,18:27:17,5595.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-02-04,1990.0,Younger Millennials
2019-04-01,15:16:23,5018.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-02-07,1952.0,Baby Boomers
2019-04-01,11:56:07,5705.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-10-26,1997.0,Gen Z
2019-04-01,13:42:58,5243.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-05-13,1983.0,Older Millennials
2019-04-01,13:06:20,5703.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2019-02-10,1997.0,Gen Z
2019-04-01,17:09:03,5921.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-10-24,1997.0,Gen Z
2019-04-01,11:57:28,5876.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-10-31,1968.0,Gen X
2019-04-01,17:43:49,8410.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-09-23,1962.0,Baby Boomers
2019-04-01,15:57:56,8298.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-04-06,1978.0,Gen X
2019-04-01,10:46:20,8399.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-08-21,1960.0,Baby Boomers
2019-04-01,09:31:05,8322.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2019-03-21,1969.0,Gen X
2019-04-01,17:06:02,8358.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-10-24,1994.0,Younger Millennials
2019-04-01,10:43:07,8242.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-08-08,1988.0,Older Millennials
2019-04-02,11:24:50,787.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-12-22,1994.0,Younger Millennials
2019-04-02,19:57:23,554.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-06-11,1982.0,Older Millennials
2019-04-02,15:17:08,777.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-09-30,1989.0,Older Millennials
2019-04-02,12:55:19,315.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-02-02,1952.0,Baby Boomers
2019-04-02,18:53:56,106.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-10-21,1968.0,Gen X
2019-04-02,15:30:40,525.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-04-12,1978.0,Gen X
2019-04-02,13:45:24,613.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-10-11,1990.0,Younger Millennials
2019-04-02,13:11:09,458.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-11-24,1970.0,Gen X
2019-04-02,17:51:00,456.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-11-20,1970.0,Gen X
2019-04-02,13:58:22,687.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2019-03-13,1999.0,Gen Z
2019-04-02,17:48:48,728.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-08-21,1964.0,Baby Boomers
2019-04-02,16:11:03,288.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2019-03-06,1999.0,Gen Z
2019-04-02,16:32:14,687.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2019-03-13,1999.0,Gen Z
2019-04-02,11:18:25,516.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-03-24,1977.0,Gen X
2019-04-02,15:12:44,259.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-12-16,1994.0,Younger Millennials
2019-04-02,18:02:37,5458.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-05-31,1959.0,Baby Boomers
2019-04-02,08:05:31,5764.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-08-05,1986.0,Older Millennials
2019-04-02,12:42:19,5577.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-06-22,1984.0,Older Millennials
2019-04-02,14:44:28,5677.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-02-23,1990.0,Younger Millennials
2019-04-02,12:54:53,5628.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-12-19,1971.0,Gen X
2019-04-02,18:18:13,5649.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-11-03,1969.0,Gen X
2019-04-02,12:15:19,5313.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-07-08,1961.0,Baby Boomers
2019-04-02,07:18:11,5847.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-07-30,1985.0,Older Millennials
2019-04-02,16:05:18,5131.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-04-16,1956.0,Baby Boomers
2019-04-02,16:37:26,5944.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-10-25,1991.0,Younger Millennials
2019-04-02,14:54:46,5876.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-10-31,1968.0,Gen X
2019-04-02,14:49:34,5415.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2019-02-01,1997.0,Gen Z
2019-04-02,13:07:54,8377.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-03-29,1997.0,Gen Z
2019-04-02,17:45:27,8438.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-02-13,1984.0,Older Millennials
2019-04-02,17:02:45,8496.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-12-18,1977.0,Gen X
2019-04-02,17:50:55,8493.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-02-27,1991.0,Younger Millennials
2019-04-02,17:48:51,8023.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-08-07,1992.0,Younger Millennials
2019-04-02,13:42:56,8494.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-10-04,1998.0,Gen Z
2019-04-02,12:17:46,8085.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-07-13,1990.0,Younger Millennials
2019-04-02,16:31:48,8088.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-11-02,1950.0,Baby Boomers
2019-04-02,17:43:03,8290.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-05-31,1989.0,Older Millennials
2019-04-02,15:41:09,8075.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-09-14,1987.0,Older Millennials
2019-04-02,14:37:44,8494.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-10-04,1998.0,Gen Z
2019-04-02,19:19:29,8279.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-07-03,1998.0,Gen Z
2019-04-02,17:53:21,8461.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-07-10,1955.0,Baby Boomers
2019-04-02,08:24:13,8189.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-11-20,1976.0,Gen X
2019-04-03,15:39:42,192.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-06-15,1982.0,Older Millennials
2019-04-03,18:47:50,784.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-11-27,1993.0,Younger Millennials
2019-04-03,19:19:44,389.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-07-05,1961.0,Baby Boomers
2019-04-03,18:44:51,172.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-04-21,1979.0,Gen X
2019-04-03,16:19:34,588.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-08-20,1986.0,Older Millennials
2019-04-03,12:54:44,216.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-08-20,1986.0,Older Millennials
2019-04-03,14:15:52,347.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-04-09,1956.0,Baby Boomers
2019-04-03,17:53:41,487.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-01-23,1974.0,Gen X
2019-04-03,16:19:08,5849.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2019-03-12,1999.0,Gen Z
2019-04-03,14:23:03,5118.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2019-03-17,1999.0,Gen Z
2019-04-03,12:42:56,5150.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-12-11,1993.0,Younger Millennials
2019-04-03,09:00:48,5360.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-12-26,1972.0,Gen X
2019-04-03,15:30:39,5242.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-09-18,1996.0,Gen Z
2019-04-03,11:20:52,5782.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-02-14,1952.0,Baby Boomers
2019-04-03,15:06:10,5633.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-05-24,1959.0,Baby Boomers
2019-04-03,14:56:14,5769.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2019-01-03,1998.0,Gen Z
2019-04-03,11:11:22,5016.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-11-17,1997.0,Gen Z
2019-04-03,08:44:54,5635.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-11-08,1969.0,Gen X
2019-04-03,15:16:34,5012.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-06-30,1961.0,Baby Boomers
2019-04-03,09:54:43,5358.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-09-25,1966.0,Gen X
2019-04-03,10:44:30,5023.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-11-14,1969.0,Gen X
2019-04-03,11:55:14,5687.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-11-28,1970.0,Gen X
2019-04-03,18:17:44,5800.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-03-04,1981.0,Older Millennials
2019-04-03,07:29:28,5259.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-05-06,1957.0,Baby Boomers
2019-04-03,19:52:52,8356.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-07-25,1968.0,Gen X
2019-04-03,12:20:20,8472.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-08-15,1973.0,Gen X
2019-04-03,13:04:55,8364.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-10-21,1965.0,Gen X
2019-04-03,17:09:42,8197.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-09-11,1996.0,Gen Z
2019-04-03,11:26:18,8220.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-09-29,1959.0,Baby Boomers
2019-04-03,09:07:36,8384.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-02-28,1991.0,Younger Millennials
2019-04-03,14:28:01,8351.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-01-22,1961.0,Baby Boomers
2019-04-03,16:31:50,8366.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-07-13,1973.0,Gen X
2019-04-03,17:21:34,8465.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2019-01-15,1990.0,Younger Millennials
2019-04-03,17:18:26,8439.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-05-25,1974.0,Gen X
2019-04-03,08:19:33,8191.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-04-12,1985.0,Older Millennials
2019-04-03,10:24:07,8287.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-08-11,1967.0,Gen X
2019-04-03,14:26:41,8134.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2017-08-21,1995.0,Gen Z
2019-04-03,14:57:23,8044.0,1,2.5,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-05-18,1953.0,Baby Boomers
2019-04-03,18:34:55,8373.0,2,5.0,2.5,Beverages,Tea,Brewed Chai tea,0.63,2018-12-05,1993.0,Younger Millennials
